tree ID,site ID,year,seeds,ring width,dbh,summer temp,water deficit,VPD
11,Benwell,1996,,2.48,84.8,19.17311433,-55.88359521,0.000355168
11,Benwell,1997,,2.505,85.1,18.46885205,6.869394007,0.000297144
11,Benwell,1998,,3.26,85.4,17.68458977,-8.064205758,0.000293676
11,Benwell,1999,,3.655,85.7,18.77999958,-50.08476022,0.000298019
11,Benwell,2000,,2.935,86,17.75180288,-36.10623978,0.000301525
11,Benwell,2001,,3.3,86.3,18.26409795,-61.45829959,0.000335756
11,Benwell,2002,270,2.695,86.6,18.22590123,-28.64939603,0.000296931
11,Benwell,2003,0,2.815,86.9,19.80803234,-49.34905147,0.000372931
11,Benwell,2004,257,3.28,87.2,18.74934384,-30.51472127,0.000361415
11,Benwell,2005,0,3.12,87.5,19.17786842,-33.75091712,0.000360189
11,Benwell,2006,86,3.375,87.8,21.89622902,-68.1669887,0.000414436
11,Benwell,2007,63,3.895,88.1,18.11262255,-2.20193863,0.000277588
11,Benwell,2008,22,5.045,88.4,18.77803237,-19.10708764,0.000315103
11,Benwell,2009,173,4.615,88.7,18.6924586,-8.630507516,0.000327831
11,Benwell,2010,47,4.49,89,20.08622906,-53.12463641,0.00033667
11,Benwell,2011,220,3.515,89.3,18.95836023,-32.63315424,0.000343529
11,Benwell,2012,0,7.645,89.6,17.29114715,15.97958054,0.000246887
11,Benwell,2013,34,3.205,89.9,20.49491757,-42.86709734,0.000357966
11,Benwell,2014,274,2.095,90.2,19.95475365,-44.13272833,0.000334255
11,Benwell,2015,0,2.82,90.5,18.42360615,-27.62800331,0.000344716
11,Benwell,2016,38,3.665,90.8,18.81442581,-46.33036406,0.000328052
11,Benwell,2017,8,3.57,91.1,18.9186881,-34.82516521,0.000363589
11,Benwell,2018,110,2.25,91.4,21.15475363,-74.9516551,0.000425041
11,Benwell,2019,292,1.585,91.7,19.62721268,-20.03617558,0.000340863
11,Benwell,2020,148,1.925,92,18.69622909,-49.26896875,0.0003805
11,Benwell,2021,102,2.425,92.3,20.20819627,-41.11146766,0.000333473
12,Benwell,2007,156,1.965,76.7,18.11262255,-2.20193863,0.000277588
12,Benwell,2008,1,3.385,77,18.77803237,-19.10708764,0.000315103
12,Benwell,2009,11,3.61,77.3,18.6924586,-8.630507516,0.000327831
12,Benwell,2010,33,3.38,77.6,20.08622906,-53.12463641,0.00033667
12,Benwell,2011,268,1.675,77.9,18.95836023,-32.63315424,0.000343529
12,Benwell,2012,0,3.165,78.2,17.29114715,15.97958054,0.000246887
12,Benwell,2013,0,3.57,78.5,20.49491757,-42.86709734,0.000357966
12,Benwell,2014,0,1.755,78.8,19.95475365,-44.13272833,0.000334255
12,Benwell,2015,0,2.165,79.1,18.42360615,-27.62800331,0.000344716
12,Benwell,2016,28,3.555,79.4,18.81442581,-46.33036406,0.000328052
12,Benwell,2017,74,3.335,79.7,18.9186881,-34.82516521,0.000363589
12,Benwell,2018,56,2.84,80,21.15475363,-74.9516551,0.000425041
12,Benwell,2019,252,1.515,80.3,19.62721268,-20.03617558,0.000340863
12,Benwell,2020,38,1.72,80.6,18.69622909,-49.26896875,0.0003805
12,Benwell,2021,56,3.19,80.9,20.20819627,-41.11146766,0.000333473
13,Benwell,2017,34,1.715,70.8,18.9186881,-34.82516521,0.000363589
13,Benwell,2018,144,0.955,71.1,21.15475363,-74.9516551,0.000425041
13,Benwell,2019,224,1.22,71.4,19.62721268,-20.03617558,0.000340863
13,Benwell,2020,188,1.125,71.7,18.69622909,-49.26896875,0.0003805
13,Benwell,2021,126,0.815,72,20.20819627,-41.11146766,0.000333473
3,Benwell,1984,206,1.92,55.4,19.35754055,-64.72569172,0.000363429
3,Benwell,1985,25,2.61,55.7,17.22081929,-21.39748272,0.000254867
3,Benwell,1986,91,2.6,56,18.36393402,-47.80405885,0.000289598
3,Benwell,1987,164,1.8,56.3,16.76295044,-12.99912955,0.000256983
3,Benwell,1988,0,2.86,56.6,17.82868813,-15.61916342,0.000272476
3,Benwell,1989,126,2.42,56.9,20.27983561,-72.91180565,0.000409934
3,Benwell,1990,202,2,57.2,18.66229466,-47.97181536,0.000346468
3,Benwell,1991,0,3.11,57.5,18.21360615,-48.83626517,0.000282236
3,Benwell,1992,123,2.46,57.8,19.51737661,-69.81459318,0.000354821
3,Benwell,1993,102,1.54,58.1,18.18360615,-32.81663596,0.000288349
3,Benwell,1994,50,2.35,58.4,19.58426186,-64.8966205,0.000341292
3,Benwell,1995,,2.05,58.7,19.25278645,-60.49589853,0.000372083
3,Benwell,1996,,3.37,59,19.17311433,-55.88359521,0.000355168
3,Benwell,1997,,3.05,59.3,18.46885205,6.869394007,0.000297144
3,Benwell,1998,,4.41,59.6,17.68458977,-8.064205758,0.000293676
3,Benwell,1999,,5.37,59.9,18.77999958,-50.08476022,0.000298019
3,Benwell,2000,,6.45,60.2,17.75180288,-36.10623978,0.000301525
3,Benwell,2001,,5.73,60.5,18.26409795,-61.45829959,0.000335756
3,Benwell,2002,,6.51,60.8,18.22590123,-28.64939603,0.000296931
3,Benwell,2003,0,3.29,61.1,19.80803234,-49.34905147,0.000372931
3,Benwell,2004,201,2.77,61.4,18.74934384,-30.51472127,0.000361415
3,Benwell,2005,0,3.99,61.7,19.17786842,-33.75091712,0.000360189
3,Benwell,2006,126,1.68,62,21.89622902,-68.1669887,0.000414436
3,Benwell,2007,105,4.78,62.3,18.11262255,-2.20193863,0.000277588
3,Benwell,2008,10,5.04,62.6,18.77803237,-19.10708764,0.000315103
3,Benwell,2009,175,4.42,62.9,18.6924586,-8.630507516,0.000327831
3,Benwell,2010,86,2.68,63.2,20.08622906,-53.12463641,0.00033667
3,Benwell,2011,208,2.03,63.5,18.95836023,-32.63315424,0.000343529
3,Benwell,2012,8,3.33,63.8,17.29114715,15.97958054,0.000246887
3,Benwell,2013,232,2.5,64.1,20.49491757,-42.86709734,0.000357966
3,Benwell,2014,220,3.23,64.4,19.95475365,-44.13272833,0.000334255
3,Benwell,2015,110,3.06,64.7,18.42360615,-27.62800331,0.000344716
3,Benwell,2016,32,4.55,65,18.81442581,-46.33036406,0.000328052
3,Benwell,2017,46,5.36,65.3,18.9186881,-34.82516521,0.000363589
3,Benwell,2018,4,2.63,65.6,21.15475363,-74.9516551,0.000425041
3,Benwell,2019,200,2.05,65.9,19.62721268,-20.03617558,0.000340863
3,Benwell,2020,72,1.83,66.2,18.69622909,-49.26896875,0.0003805
3,Benwell,2021,,3.52,66.5,20.20819627,-41.11146766,0.000333473
4,Benwell,1983,58,1.75,64.7,19.79213071,-39.56188746,0.000300885
4,Benwell,1984,256,0.86,65,19.35754055,-64.72569172,0.000363429
4,Benwell,1985,36,1.215,65.3,17.22081929,-21.39748272,0.000254867
4,Benwell,1986,88,1.99,65.6,18.36393402,-47.80405885,0.000289598
4,Benwell,1987,245,1.175,65.9,16.76295044,-12.99912955,0.000256983
4,Benwell,1988,0,2.11,66.2,17.82868813,-15.61916342,0.000272476
4,Benwell,1989,166,1.475,66.5,20.27983561,-72.91180565,0.000409934
4,Benwell,1990,220,0.465,66.8,18.66229466,-47.97181536,0.000346468
4,Benwell,1991,0,1.61,67.1,18.21360615,-48.83626517,0.000282236
4,Benwell,1992,150,1.34,67.4,19.51737661,-69.81459318,0.000354821
4,Benwell,1993,158,2.04,67.7,18.18360615,-32.81663596,0.000288349
4,Benwell,1994,11,2.32,68,19.58426186,-64.8966205,0.000341292
4,Benwell,1995,,0.925,68.3,19.25278645,-60.49589853,0.000372083
4,Benwell,1996,,2.315,68.6,19.17311433,-55.88359521,0.000355168
4,Benwell,1997,155,3.45,68.9,18.46885205,6.869394007,0.000297144
4,Benwell,1998,157,3.03,69.2,17.68458977,-8.064205758,0.000293676
4,Benwell,1999,67,3.005,69.5,18.77999958,-50.08476022,0.000298019
4,Benwell,2000,,1.275,69.8,17.75180288,-36.10623978,0.000301525
4,Benwell,2001,,2.705,70.1,18.26409795,-61.45829959,0.000335756
4,Benwell,2002,270,1.645,70.4,18.22590123,-28.64939603,0.000296931
4,Benwell,2003,5,2.545,70.7,19.80803234,-49.34905147,0.000372931
4,Benwell,2004,249,1.305,71,18.74934384,-30.51472127,0.000361415
4,Benwell,2005,0,3.01,71.3,19.17786842,-33.75091712,0.000360189
4,Benwell,2006,120,1.495,71.6,21.89622902,-68.1669887,0.000414436
4,Benwell,2007,68,2.545,71.9,18.11262255,-2.20193863,0.000277588
4,Benwell,2008,26,2.625,72.2,18.77803237,-19.10708764,0.000315103
4,Benwell,2009,326,2.825,72.5,18.6924586,-8.630507516,0.000327831
4,Benwell,2010,73,1.975,72.8,20.08622906,-53.12463641,0.00033667
4,Benwell,2011,224,1.755,73.1,18.95836023,-32.63315424,0.000343529
4,Benwell,2012,10,3.04,73.4,17.29114715,15.97958054,0.000246887
4,Benwell,2013,102,1.76,73.7,20.49491757,-42.86709734,0.000357966
4,Benwell,2014,180,1.035,74,19.95475365,-44.13272833,0.000334255
4,Benwell,2015,56,2.145,74.3,18.42360615,-27.62800331,0.000344716
4,Benwell,2016,78,2.475,74.6,18.81442581,-46.33036406,0.000328052
4,Benwell,2017,66,2.17,74.9,18.9186881,-34.82516521,0.000363589
4,Benwell,2018,112,2.205,75.2,21.15475363,-74.9516551,0.000425041
4,Benwell,2019,252,1.28,75.5,19.62721268,-20.03617558,0.000340863
4,Benwell,2020,78,1.9,75.8,18.69622909,-49.26896875,0.0003805
4,Benwell,2021,180,1.91,76.1,20.20819627,-41.11146766,0.000333473
5,Benwell,1984,144,2.565,87.9,19.35754055,-64.72569172,0.000363429
5,Benwell,1985,125,3.7,88.2,17.22081929,-21.39748272,0.000254867
5,Benwell,1986,2,3.555,88.5,18.36393402,-47.80405885,0.000289598
5,Benwell,1987,138,2.82,88.8,16.76295044,-12.99912955,0.000256983
5,Benwell,1988,0,4.255,89.1,17.82868813,-15.61916342,0.000272476
5,Benwell,1989,100,3.8,89.4,20.27983561,-72.91180565,0.000409934
5,Benwell,1990,220,1.295,89.7,18.66229466,-47.97181536,0.000346468
5,Benwell,1991,0,2.92,90,18.21360615,-48.83626517,0.000282236
5,Benwell,1992,92,3.055,90.3,19.51737661,-69.81459318,0.000354821
5,Benwell,1993,115,3.54,90.6,18.18360615,-32.81663596,0.000288349
5,Benwell,1994,0,3.16,90.9,19.58426186,-64.8966205,0.000341292
5,Benwell,1995,,1.355,91.2,19.25278645,-60.49589853,0.000372083
5,Benwell,1996,,1.355,91.5,19.17311433,-55.88359521,0.000355168
5,Benwell,1997,203,1.4,91.8,18.46885205,6.869394007,0.000297144
5,Benwell,1998,1,3.085,92.1,17.68458977,-8.064205758,0.000293676
5,Benwell,1999,11,3.195,92.4,18.77999958,-50.08476022,0.000298019
5,Benwell,2000,,1.735,92.7,17.75180288,-36.10623978,0.000301525
5,Benwell,2001,,2.69,93,18.26409795,-61.45829959,0.000335756
5,Benwell,2002,348,3.005,93.3,18.22590123,-28.64939603,0.000296931
5,Benwell,2003,0,3.04,93.6,19.80803234,-49.34905147,0.000372931
5,Benwell,2004,203,2.33,93.9,18.74934384,-30.51472127,0.000361415
5,Benwell,2005,0,3.585,94.2,19.17786842,-33.75091712,0.000360189
5,Benwell,2006,96,2.205,94.5,21.89622902,-68.1669887,0.000414436
5,Benwell,2007,64,5.09,94.8,18.11262255,-2.20193863,0.000277588
5,Benwell,2008,1,6.05,95.1,18.77803237,-19.10708764,0.000315103
5,Benwell,2009,393,5.735,95.4,18.6924586,-8.630507516,0.000327831
5,Benwell,2010,207,3.33,95.7,20.08622906,-53.12463641,0.00033667
5,Benwell,2011,144,3.24,96,18.95836023,-32.63315424,0.000343529
5,Benwell,2012,171,5.4,96.3,17.29114715,15.97958054,0.000246887
5,Benwell,2013,6,4.855,96.6,20.49491757,-42.86709734,0.000357966
5,Benwell,2014,322,1.955,96.9,19.95475365,-44.13272833,0.000334255
5,Benwell,2015,0,1.5,97.2,18.42360615,-27.62800331,0.000344716
5,Benwell,2016,6,3.94,97.5,18.81442581,-46.33036406,0.000328052
5,Benwell,2017,4,4.76,97.8,18.9186881,-34.82516521,0.000363589
5,Benwell,2018,30,3.445,98.1,21.15475363,-74.9516551,0.000425041
5,Benwell,2019,290,3.095,98.4,19.62721268,-20.03617558,0.000340863
5,Benwell,2020,108,2.56,98.7,18.69622909,-49.26896875,0.0003805
5,Benwell,2021,134,3.535,99,20.20819627,-41.11146766,0.000333473
6,Benwell,1983,143,1.67,67.6,19.79213071,-39.56188746,0.000300885
6,Benwell,1984,281,1.54,67.9,19.35754055,-64.72569172,0.000363429
6,Benwell,1985,103,1.94,68.2,17.22081929,-21.39748272,0.000254867
6,Benwell,1986,165,1.84,68.5,18.36393402,-47.80405885,0.000289598
6,Benwell,1987,265,1.12,68.8,16.76295044,-12.99912955,0.000256983
6,Benwell,1988,0,2.17,69.1,17.82868813,-15.61916342,0.000272476
6,Benwell,1989,185,0.86,69.4,20.27983561,-72.91180565,0.000409934
6,Benwell,1990,165,0.99,69.7,18.66229466,-47.97181536,0.000346468
6,Benwell,1991,0,1.73,70,18.21360615,-48.83626517,0.000282236
6,Benwell,1992,217,1.03,70.3,19.51737661,-69.81459318,0.000354821
6,Benwell,1993,146,0.6,70.6,18.18360615,-32.81663596,0.000288349
6,Benwell,1994,192,1.34,70.9,19.58426186,-64.8966205,0.000341292
6,Benwell,1995,212,0.5,71.2,19.25278645,-60.49589853,0.000372083
6,Benwell,1996,,2.19,71.5,19.17311433,-55.88359521,0.000355168
6,Benwell,1997,206,1.41,71.8,18.46885205,6.869394007,0.000297144
6,Benwell,1998,0,0.93,72.1,17.68458977,-8.064205758,0.000293676
6,Benwell,1999,176,2.39,72.4,18.77999958,-50.08476022,0.000298019
6,Benwell,2000,,2.57,72.7,17.75180288,-36.10623978,0.000301525
6,Benwell,2001,,2.77,73,18.26409795,-61.45829959,0.000335756
6,Benwell,2002,332,3.1,73.3,18.22590123,-28.64939603,0.000296931
6,Benwell,2003,7,2.34,73.6,19.80803234,-49.34905147,0.000372931
6,Benwell,2004,244,2.31,73.9,18.74934384,-30.51472127,0.000361415
6,Benwell,2005,0,2.54,74.2,19.17786842,-33.75091712,0.000360189
6,Benwell,2006,227,1.03,74.5,21.89622902,-68.1669887,0.000414436
6,Benwell,2007,144,2.32,74.8,18.11262255,-2.20193863,0.000277588
6,Benwell,2008,132,0.93,75.1,18.77803237,-19.10708764,0.000315103
6,Benwell,2009,279,1,75.4,18.6924586,-8.630507516,0.000327831
6,Benwell,2010,100,0.95,75.7,20.08622906,-53.12463641,0.00033667
6,Benwell,2011,229,0.4,76,18.95836023,-32.63315424,0.000343529
6,Benwell,2012,92,0.91,76.3,17.29114715,15.97958054,0.000246887
6,Benwell,2013,190,0.99,76.6,20.49491757,-42.86709734,0.000357966
6,Benwell,2014,170,0.56,76.9,19.95475365,-44.13272833,0.000334255
6,Benwell,2015,208,0.98,77.2,18.42360615,-27.62800331,0.000344716
6,Benwell,2016,226,2.49,77.5,18.81442581,-46.33036406,0.000328052
6,Benwell,2017,28,,77.8,18.9186881,-34.82516521,0.000363589
6,Benwell,2018,116,,78.1,21.15475363,-74.9516551,0.000425041
6,Benwell,2019,294,,78.4,19.62721268,-20.03617558,0.000340863
6,Benwell,2020,90,,78.7,18.69622909,-49.26896875,0.0003805
6,Benwell,2021,230,,79,20.20819627,-41.11146766,0.000333473
8,Benwell,1984,230,3.07,114.4,19.35754055,-64.72569172,0.000363429
8,Benwell,1985,113,5.21,114.7,17.22081929,-21.39748272,0.000254867
8,Benwell,1986,0,4.095,115,18.36393402,-47.80405885,0.000289598
8,Benwell,1987,93,2.91,115.3,16.76295044,-12.99912955,0.000256983
8,Benwell,1988,0,2.315,115.6,17.82868813,-15.61916342,0.000272476
8,Benwell,1989,133,3.265,115.9,20.27983561,-72.91180565,0.000409934
8,Benwell,1990,143,2.82,116.2,18.66229466,-47.97181536,0.000346468
8,Benwell,1991,0,2.14,116.5,18.21360615,-48.83626517,0.000282236
8,Benwell,1992,62,3.555,116.8,19.51737661,-69.81459318,0.000354821
8,Benwell,1993,108,6.235,117.1,18.18360615,-32.81663596,0.000288349
8,Benwell,1994,51,7.055,117.4,19.58426186,-64.8966205,0.000341292
8,Benwell,1995,154,3.695,117.7,19.25278645,-60.49589853,0.000372083
8,Benwell,1996,,5.34,118,19.17311433,-55.88359521,0.000355168
8,Benwell,1997,127,8.24,118.3,18.46885205,6.869394007,0.000297144
8,Benwell,1998,227,9.88,118.6,17.68458977,-8.064205758,0.000293676
8,Benwell,1999,25,11.515,118.9,18.77999958,-50.08476022,0.000298019
8,Benwell,2000,,6.825,119.2,17.75180288,-36.10623978,0.000301525
8,Benwell,2001,,8.105,119.5,18.26409795,-61.45829959,0.000335756
8,Benwell,2002,210,7.76,119.8,18.22590123,-28.64939603,0.000296931
8,Benwell,2003,0,6.375,120.1,19.80803234,-49.34905147,0.000372931
8,Benwell,2004,267,3.495,120.4,18.74934384,-30.51472127,0.000361415
8,Benwell,2005,1,5.295,120.7,19.17786842,-33.75091712,0.000360189
8,Benwell,2006,37,4.9,121,21.89622902,-68.1669887,0.000414436
8,Benwell,2007,279,7.595,121.3,18.11262255,-2.20193863,0.000277588
8,Benwell,2008,0,9.095,121.6,18.77803237,-19.10708764,0.000315103
8,Benwell,2009,222,8.165,121.9,18.6924586,-8.630507516,0.000327831
8,Benwell,2010,20,5.455,122.2,20.08622906,-53.12463641,0.00033667
8,Benwell,2011,142,2.805,122.5,18.95836023,-32.63315424,0.000343529
8,Benwell,2012,4,5.885,122.8,17.29114715,15.97958054,0.000246887
8,Benwell,2013,268,1.765,123.1,20.49491757,-42.86709734,0.000357966
8,Benwell,2014,140,0.99,123.4,19.95475365,-44.13272833,0.000334255
8,Benwell,2015,16,2.375,123.7,18.42360615,-27.62800331,0.000344716
8,Benwell,2016,86,2.59,124,18.81442581,-46.33036406,0.000328052
8,Benwell,2017,26,3.23,124.3,18.9186881,-34.82516521,0.000363589
8,Benwell,2018,86,2.175,124.6,21.15475363,-74.9516551,0.000425041
8,Benwell,2019,268,0.97,124.9,19.62721268,-20.03617558,0.000340863
8,Benwell,2020,168,2.63,125.2,18.69622909,-49.26896875,0.0003805
8,Benwell,2021,102,2.72,125.5,20.20819627,-41.11146766,0.000333473
9,Benwell,1984,278,1.705,66.3,19.35754055,-64.72569172,0.000363429
9,Benwell,1985,16,2.765,66.6,17.22081929,-21.39748272,0.000254867
9,Benwell,1986,184,2.78,66.9,18.36393402,-47.80405885,0.000289598
9,Benwell,1987,170,2.55,67.2,16.76295044,-12.99912955,0.000256983
9,Benwell,1988,0,2.825,67.5,17.82868813,-15.61916342,0.000272476
9,Benwell,1989,82,1.605,67.8,20.27983561,-72.91180565,0.000409934
9,Benwell,1990,189,0.615,68.1,18.66229466,-47.97181536,0.000346468
9,Benwell,1991,0,1.99,68.4,18.21360615,-48.83626517,0.000282236
9,Benwell,1992,221,1.73,68.7,19.51737661,-69.81459318,0.000354821
9,Benwell,1993,59,2.49,69,18.18360615,-32.81663596,0.000288349
9,Benwell,1994,4,2.17,69.3,19.58426186,-64.8966205,0.000341292
9,Benwell,1995,,2.115,69.6,19.25278645,-60.49589853,0.000372083
9,Benwell,1996,,2.77,69.9,19.17311433,-55.88359521,0.000355168
9,Benwell,1997,,3.07,70.2,18.46885205,6.869394007,0.000297144
9,Benwell,1998,,2.9,70.5,17.68458977,-8.064205758,0.000293676
9,Benwell,1999,,3.02,70.8,18.77999958,-50.08476022,0.000298019
9,Benwell,2000,,2.33,71.1,17.75180288,-36.10623978,0.000301525
9,Benwell,2001,,2.175,71.4,18.26409795,-61.45829959,0.000335756
9,Benwell,2002,202,1.285,71.7,18.22590123,-28.64939603,0.000296931
9,Benwell,2003,0,2.17,72,19.80803234,-49.34905147,0.000372931
9,Benwell,2004,342,1.46,72.3,18.74934384,-30.51472127,0.000361415
9,Benwell,2005,0,2.32,72.6,19.17786842,-33.75091712,0.000360189
9,Benwell,2006,42,1.64,72.9,21.89622902,-68.1669887,0.000414436
9,Benwell,2007,145,2.945,73.2,18.11262255,-2.20193863,0.000277588
9,Benwell,2008,72,3.75,73.5,18.77803237,-19.10708764,0.000315103
9,Benwell,2009,210,4.165,73.8,18.6924586,-8.630507516,0.000327831
9,Benwell,2010,65,2.86,74.1,20.08622906,-53.12463641,0.00033667
9,Benwell,2011,226,1.62,74.4,18.95836023,-32.63315424,0.000343529
9,Benwell,2012,18,3.14,74.7,17.29114715,15.97958054,0.000246887
9,Benwell,2013,146,1.92,75,20.49491757,-42.86709734,0.000357966
9,Benwell,2014,256,0.77,75.3,19.95475365,-44.13272833,0.000334255
9,Benwell,2015,58,1.155,75.6,18.42360615,-27.62800331,0.000344716
9,Benwell,2016,96,1.58,75.9,18.81442581,-46.33036406,0.000328052
9,Benwell,2017,24,1.79,76.2,18.9186881,-34.82516521,0.000363589
9,Benwell,2018,126,1.105,76.5,21.15475363,-74.9516551,0.000425041
9,Benwell,2019,206,1.115,76.8,19.62721268,-20.03617558,0.000340863
9,Benwell,2020,90,1.065,77.1,18.69622909,-49.26896875,0.0003805
9,Benwell,2021,122,1.23,77.4,20.20819627,-41.11146766,0.000333473
10,Buckholt,1982,96,2.325,48.1,21.20163887,-35.17828175,0.000419586
10,Buckholt,1983,71,1.65,48.4,23.24376997,-46.86196947,0.000427564
10,Buckholt,1984,211,0.75,48.7,22.50311425,-54.65929969,0.000458443
10,Buckholt,1985,0,1.075,49,19.45114711,-6.468950678,0.000331729
10,Buckholt,1986,0,0.95,49.3,20.65836019,-47.98927539,0.000373093
10,Buckholt,1987,158,1,49.6,19.15606515,-28.55806546,0.000346549
10,Buckholt,1988,0,0.91,49.9,18.99803236,-22.79313028,0.000341804
10,Buckholt,1989,0,0.92,50.2,22.89688473,-67.70440901,0.000536711
10,Buckholt,1990,265,0.78,50.5,21.01278642,-67.55642591,0.000507116
10,Buckholt,1991,0,1.465,50.8,19.3544258,-29.38566706,0.000332885
10,Buckholt,1992,0,1.32,51.1,21.44262247,-46.89685517,0.000433487
10,Buckholt,1993,7,1.37,51.4,20.36229463,-24.80186689,0.000371233
10,Buckholt,1994,0,1.375,51.7,21.97917984,-53.38802712,0.000435032
10,Buckholt,1995,198,0.435,52,22.4404913,-72.27897422,0.000517115
10,Buckholt,1996,0,0.825,52.3,21.92377,-63.15382237,0.000464857
10,Buckholt,1997,185,1.195,52.6,20.57590118,-31.77393779,0.000399964
10,Buckholt,1998,0,1.68,52.9,19.23475367,-39.57408733,0.000354946
10,Buckholt,1999,0,1.625,53.2,21.62901591,-64.44660427,0.000426262
10,Buckholt,2000,202,0.78,53.5,20.70426183,-53.43723683,0.000375015
10,Buckholt,2001,0,0.985,53.8,21.26917985,-57.6769847,0.00046706
10,Buckholt,2002,170,1.565,54.1,19.98885201,-26.29491498,0.000342372
10,Buckholt,2003,4,0.86,54.4,22.15409787,-44.87171163,0.000425731
10,Buckholt,2004,280,0.75,54.7,21.09475363,-56.94759994,0.000395376
10,Buckholt,2005,0,0.74,55,21.44917985,-50.7123901,0.00040683
10,Buckholt,2006,158,1.365,55.3,24.32065519,-52.34577362,0.000530981
10,Buckholt,2007,262,0.75,55.6,19.75852415,53.86502124,0.000300493
10,Buckholt,2008,0,1.175,55.9,20.38917987,-26.81309498,0.000376131
10,Buckholt,2009,24,0.65,56.2,20.14770447,-19.23033418,0.000355651
10,Buckholt,2010,45,0.555,56.5,21.77295033,-58.85365384,0.000432781
10,Buckholt,2011,83,0.52,56.8,19.85672087,-49.56278799,0.000411781
10,Buckholt,2012,0,1.025,57.1,18.73754056,7.666076112,0.000321913
10,Buckholt,2013,73,0.655,57.4,22.02934377,-47.79858453,0.000427151
10,Buckholt,2014,91,0.365,57.7,22.14754049,-36.44663566,0.000430896
10,Buckholt,2015,0,0.505,58,20.64491757,-38.93481213,0.000390241
10,Buckholt,2016,24,0.815,58.3,20.8855733,-45.34807239,0.000325152
10,Buckholt,2017,22,0.835,58.6,21.62786837,-37.96088202,0.000412436
